"filename", "language", "TypeScript", "JSON", "vue", "SCSS", "XML", "comment", "blank", "total"
"c:\Dev\bili-opinion-monitor\client\src\stores\modules\keepAlive.ts", "TypeScript", 19, 0, 0, 0, 0, 3, 2, 24
"c:\Dev\bili-opinion-monitor\client\src\stores\modules\tabs.ts", "TypeScript", 63, 0, 0, 0, 0, 9, 3, 75
"c:\Dev\bili-opinion-monitor\client\src\stores\modules\user.ts", "TypeScript", 20, 0, 0, 0, 0, 2, 2, 24
"c:\Dev\bili-opinion-monitor\client\src\styles\common.scss", "SCSS", 0, 0, 0, 104, 0, 10, 10, 124
"c:\Dev\bili-opinion-monitor\client\src\styles\element-dark.scss", "SCSS", 0, 0, 0, 24, 0, 3, 2, 29
"c:\Dev\bili-opinion-monitor\client\src\styles\element.scss", "SCSS", 0, 0, 0, 212, 0, 25, 23, 260
"c:\Dev\bili-opinion-monitor\client\src\styles\reset.scss", "SCSS", 0, 0, 0, 11, 0, 128, 4, 143
"c:\Dev\bili-opinion-monitor\client\src\styles\theme\aside.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Dev\bili-opinion-monitor\client\src\styles\theme\header.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 2, 26
"c:\Dev\bili-opinion-monitor\client\src\styles\theme\menu.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 2, 32
"c:\Dev\bili-opinion-monitor\client\src\styles\var.scss", "SCSS", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Dev\bili-opinion-monitor\client\src\typings\global.d.ts", "TypeScript", 62, 0, 0, 0, 0, 4, 7, 73
"c:\Dev\bili-opinion-monitor\client\src\typings\utils.d.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 5, 18
"c:\Dev\bili-opinion-monitor\client\src\typings\window.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Dev\bili-opinion-monitor\client\src\utils\color.ts", "TypeScript", 31, 0, 0, 0, 0, 24, 5, 60
"c:\Dev\bili-opinion-monitor\client\src\utils\errorHandler.ts", "TypeScript", 21, 0, 0, 0, 0, 4, 3, 28
"c:\Dev\bili-opinion-monitor\client\src\utils\index.ts", "TypeScript", 161, 0, 0, 0, 0, 126, 25, 312
"c:\Dev\bili-opinion-monitor\client\src\utils\is\index.ts", "TypeScript", 54, 0, 0, 0, 0, 54, 18, 126
"c:\Dev\bili-opinion-monitor\client\src\utils\mittBus.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3, 6
"c:\Dev\bili-opinion-monitor\client\src\utils\svg.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 1, 14
"c:\Dev\bili-opinion-monitor\client\src\utils\time.ts", "TypeScript", 3, 0, 0, 0, 0, 3, 2, 8
"c:\Dev\bili-opinion-monitor\client\src\views\about\index.vue", "vue", 0, 0, 78, 0, 0, 0, 3, 81
"c:\Dev\bili-opinion-monitor\client\src\views\home\index.scss", "SCSS", 0, 0, 0, 12, 0, 0, 1, 13
"c:\Dev\bili-opinion-monitor\client\src\views\home\index.vue", "vue", 0, 0, 9, 0, 0, 0, 3, 12
"c:\Dev\bili-opinion-monitor\client\src\views\login\components\LoginForm.vue", "vue", 0, 0, 105, 0, 0, 0, 12, 117
"c:\Dev\bili-opinion-monitor\client\src\views\login\index.scss", "SCSS", 0, 0, 0, 81, 0, 0, 3, 84
"c:\Dev\bili-opinion-monitor\client\src\views\login\index.vue", "vue", 0, 0, 24, 0, 0, 0, 3, 27
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\comments\index.scss", "SCSS", 0, 0, 0, 48, 0, 0, 1, 49
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\comments\index.vue", "vue", 0, 0, 111, 0, 0, 0, 11, 122
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\dynamics\index.scss", "SCSS", 0, 0, 0, 19, 0, 0, 1, 20
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\dynamics\index.vue", "vue", 0, 0, 51, 0, 0, 0, 8, 59
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\logs\index.scss", "SCSS", 0, 0, 0, 25, 0, 0, 1, 26
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\logs\index.vue", "vue", 0, 0, 65, 0, 0, 0, 9, 74
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\overview\index.scss", "SCSS", 0, 0, 0, 67, 0, 0, 3, 70
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\overview\index.vue", "vue", 0, 0, 189, 0, 0, 3, 15, 207
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\settings\index.scss", "SCSS", 0, 0, 0, 87, 0, 0, 4, 91
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\settings\index.vue", "vue", 0, 0, 472, 0, 0, 8, 27, 507
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\tasks\index.scss", "SCSS", 0, 0, 0, 8, 0, 0, 1, 9
"c:\Dev\bili-opinion-monitor\client\src\views\monitor\tasks\index.vue", "vue", 0, 0, 133, 0, 0, 1, 13, 147
"c:\Dev\bili-opinion-monitor\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1, 2
"Total", "-", 1955, 98, 2882, 1345, 34, 788, 658, 7760
